,Unnamed: 0,CODE_SALESROOM,NAME_SALESROOM,NUM_LONGITUDE,NUM_LATITUDE,NAME_DISTRICT,Business
183,1792,68119,深圳世纪华腾商贸有限公司—皇庭广场店,114.066376,22.539341,福田区,"岗厦,福华新村,皇岗"
184,1154,67052,深圳世纪华腾商贸有限公司—龙华店,114.02656999999999,22.668716,龙华区,"龙华,美丽365花园"
185,2261,68791,深圳世纪华腾商贸有限公司-坪山六和华为体验店,114.29698,22.72934,坪山区,
186,2720,69018,深圳世纪华腾商贸有限公司—现代之窗店,114.09315,22.554878,福田区,"华强北,上步,白沙岭"
187,495,66200,深圳市爱多宝科技有限公司连城新天地店,114.06036999999999,22.54172,福田区,"购物公园,岗厦,福华新村"
188,2448,68914,深圳市爱众科技有限公司—爱众.和成世纪营业厅,114.06755,22.631535999999997,龙岗区,坂田
189,1794,68082,深圳市安智通科技有限公司—皇岗厅,114.06813000000001,22.53081,福田区,"皇岗,福田区委,福华新村"
190,1776,68087,深圳市安智通科技有限公司—上沙花园店,114.03737,22.53071,福田区,"上沙,沙头,下沙"
191,2415,68961,深圳市奥维星科技有限公司,113.9465,22.506916,南山区,"后海,蛇口,南油"
192,2983,69561,深圳市奥维星科技有限公司海岸城店,113.94405,22.522282,南山区,"后海,南油,桂庙路口"
193,1678,68000,深圳市澳益久鼎科技有限公司,113.79953,22.696888,宝安区,福永
194,3149,69794,深圳市八时区科技有限公司-科苑店,113.93018000000001,22.526932000000002,南山区,"南头,南山医院,桂庙路口"
195,3034,69668,深圳市宝安区百汇朝鑫通讯手机店-应人石店,113.92907,22.652767,宝安区,
196,313,65414,深圳市宝安区宝城杰锋电讯商行-前进分店,113.90858,22.573019,宝安区,新安
197,191,60105,深圳市宝安区标记通商店,113.884895,22.581621,宝安区,"西乡,新安,翻身路"
198,787,63783,深圳市宝安区标记通信-西乡电信营业厅,113.8898,22.583214,宝安区,"西乡,新安,翻身路"
199,2963,69618,深圳市宝安区蔡东盛好润佳手机店-应人石店,113.93678999999999,22.680592,宝安区,石岩
200,876,64734,深圳市宝安区大浪华之域数码通讯器材店,114.00008400000002,22.68447,龙华区,
201,364,64739,深圳市宝安区大浪华之域数码通讯器材店(三星万盛店),114.00197,22.681452,龙华区,
202,2987,69373,深圳市宝安区大浪台顺车行,114.0191,22.662975,龙华区,"龙华,美丽365花园"
203,2894,69487,深圳市宝安区福海陈玲创宏手机通讯店,113.912605,22.759676000000002,宝安区,
204,2677,69224,深圳市宝安区福海明合顺发手机通讯店,114.03008999999999,22.658708999999998,宝安区,"龙华,美丽365花园"
205,2709,69298,深圳市宝安区福海明合顺发手机通讯店-苹果店,113.798645,22.694515,宝安区,福永
206,2533,69071,深圳市宝安区福海天一贸易通讯商店,113.89227,22.67633,宝安区,
207,2719,69305,深圳市宝安区福海王记军冯自行车行,113.799995,22.683237,宝安区,福永
208,3078,69707,深圳市宝安区福海王者电动车行,113.80011999999999,22.700249,宝安区,
209,2307,68799,深圳市宝安区福海吴祝枚手机通讯店,113.79948,22.682264,宝安区,福永
210,2678,69234,深圳市宝安区福海新诺恒发通讯配件店,113.79926,22.692705,宝安区,福永
211,2538,69225,深圳市宝安区福海新中星通讯器材店,113.80977,22.673486999999998,宝安区,福永
212,3109,69675,深圳市宝安区福海永顺手机维修店,113.81423000000001,22.694616,宝安区,福永
213,3079,69006,深圳市宝安区福海永泰云讯通讯器材店,113.80963,22.706478,宝安区,
214,676,66885,深圳市宝安区福永奥娃自行车零售店-桥头店,113.81172,22.694054,宝安区,福永
215,2939,69531,深圳市宝安区福永倍特酷电动车馆,113.80628,22.706547,宝安区,
216,2760,69312,深圳市宝安区福永奔骑电动车店,113.80628,22.706547,宝安区,
